postal_code,segment_number,segment_description,average_household_income,average_household_net_worth,home_type
T0M 0R0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
R3R 1J8,23,"Older, urban, middle-income families and couples | Mid-City Mellow is a segment composed mainly of long-term residents, including older couples and middle-aged families, found in city neighbourhoods. They earn stable, mid-level incomes and typically live in single-detached homes, enjoying comfortable lifestyles supported by moderate discretionary spending. Residents often seek opportunities to be active in their communities and are drawn to nearby theatre and sporting events. This segment shows a strong appreciation for community traditions and local engagement, reflecting a steady, grounded lifestyle shaped by familiarity, routine, and cultural connection.","$139,391","$973,823",Single Detached
M4T 0A5,12,"Younger, multi-ethnic urban singles and couples | Eat, Play, Love represents a dynamic group of young, urban singles and couples concentrated primarily in major Canadian cities like Toronto and Vancouver. Living predominantly in high-rise condos, they are culturally engaged, often attending film festivals, concerts, and sporting events. With a high rate of university graduates and careers in business, science, and the arts, they value authenticity, personal connection, and originality. This segment frequently participates in fitness activities, travels extensively, and promotes sustainability through their consumption patterns. Their openness to new ideas and technologies reflects a forward-thinking mindset and a desire to stay meaningfully connected to the evolving world around them.","$139,766","$926,329",Apt 5+
V7W 2H9,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","$163,097","$1,513,488",Single Detached
V5C 3H3,10,"Financially secure, middle-aged and older, urban fringe families, primarily of Asian descent | Asian Achievement represents middle-aged and older families located on the urban fringes of Vancouver and Toronto. This predominantly Asian group includes many foreign-born residents, a large number of whom speak Cantonese or Mandarin at home. With upper-middle incomes supporting their lifestyle, they invest in high-quality goods and participate in social activities, including sports and fitness. Their inclination toward luxury consumption and strong community ties reflects a lifestyle that balances ambition, cultural pride, and social engagement.","$142,817","$1,734,343",Single Detached / Duplex / Row
V5V 3V6,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.",,,
V5Z 3L2,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.",,,
V8X 3S8,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.",,,
V9E 2B9,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.",,,
M1T 1V2,18,"Culturally diverse, middle-aged, middle-income urban fringe families | Multi-Cultural Corners consists of culturally diverse neighbourhoods where a significant proportion of residents are foreign-born and belong to various visible minority groups, including South Asian and Black communities. Many households include older children and multigenerational families. This segment enjoys an active lifestyle, regularly participating in sports and local cultural events. Households typically earn upper-middle incomes, supporting a comfortable lifestyle centered around family, tradition, and community connection. Their everyday choices are shaped by a desire to maintain cultural roots while thriving in a modern Canadian context.",,,
V5H 3T5,10,"Financially secure, middle-aged and older, urban fringe families, primarily of Asian descent | Asian Achievement represents middle-aged and older families located on the urban fringes of Vancouver and Toronto. This predominantly Asian group includes many foreign-born residents, a large number of whom speak Cantonese or Mandarin at home. With upper-middle incomes supporting their lifestyle, they invest in high-quality goods and participate in social activities, including sports and fitness. Their inclination toward luxury consumption and strong community ties reflects a lifestyle that balances ambition, cultural pride, and social engagement.",,,
M6G 2Z5,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.",,,
V6S 2B5,10,"Financially secure, middle-aged and older, urban fringe families, primarily of Asian descent | Asian Achievement represents middle-aged and older families located on the urban fringes of Vancouver and Toronto. This predominantly Asian group includes many foreign-born residents, a large number of whom speak Cantonese or Mandarin at home. With upper-middle incomes supporting their lifestyle, they invest in high-quality goods and participate in social activities, including sports and fitness. Their inclination toward luxury consumption and strong community ties reflects a lifestyle that balances ambition, cultural pride, and social engagement.",,,
V6R 2A2,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.",,,
R3L 0H7,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.",,,
V3H 3S6,5,"Large, high-income, middle-aged, suburban families | First-Class Families represent an affluent suburban segment centred in family life. Most live in spacious, single-detached homes, often with four or more family members. With household incomes well over $200,000, these families are actively involved in a range of recreational activities, especially team sports and local events. Technologically savvy, they value quality, reliability, and experiences that foster togetherness and social connection. Their inclination toward leaving a legacy underscores a strong focus on heritage, long-term planning, and shaping a meaningful future.",,,
T1W 1V1,21,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.",,,
K0M 1C0,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
V6K 1E4,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.",,,
M4P 2C3,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.",,,
M4Y 3C5,12,"Younger, multi-ethnic urban singles and couples | Eat, Play, Love represents a dynamic group of young, urban singles and couples concentrated primarily in major Canadian cities like Toronto and Vancouver. Living predominantly in high-rise condos, they are culturally engaged, often attending film festivals, concerts, and sporting events. With a high rate of university graduates and careers in business, science, and the arts, they value authenticity, personal connection, and originality. This segment frequently participates in fitness activities, travels extensively, and promotes sustainability through their consumption patterns. Their openness to new ideas and technologies reflects a forward-thinking mindset and a desire to stay meaningfully connected to the evolving world around them.",,,
M5S 2K5,22,"Younger and middle-aged, university-educated, urban singles | Indieville is a culturally rich urban segment, primarily situated in major cities across the country. It is home to young and middle-aged singles, many of whom are first- or second-generation Canadians. Many in this segment have a high level of educational attainment, particularly in creative and professional fields. Housing typically includes older low-rise apartments and duplexes, fostering a communal living environment. Residents embrace active lifestyles, often favouring fitness activities like yoga and Pilates, and engage in arts and culture events such as concerts and film festivals. Their passion for fashion, music, and cultural exploration is complemented by a practical approach to spending, reflecting a lifestyle that values creativity, self-expression, and conscious living.",,,
V8N 1M1,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.",,,
V8N 5X7,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.",,,
V9A 6R6,21,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.",,,
R3V 1J8,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.",,,
V4M 2Y5,9,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.",,,
V8S 1C9,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.",,,
V8R 6L9,7,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.",,,
V8V 1Z8,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.",,,
K1M 0P8,51,"Culturally diverse, city seniors in apartment rentals | On Their Own Again consists of older singles living in high-rise rental apartments in urban centres such as London, Ottawa, and Hamilton. Many residents are aged 65 or older and live independently due to life changes such as the loss of a partner or divorce. This segment includes many newcomers from diverse cultural backgrounds, primarily from Asia and the U.K., contributing to a rich and varied neighbourhood dynamic. Residents often express concerns about their financial future, leading to a cautious approach to spending. Leisure activities are typically solitary and low-cost, focused on reading and media consumption, with some engagement in health and wellness routines. They strive to balance modest purchases for their homes and hobbies with a strong emphasis on financial prudence and long-term security.","$85,103","$583,438",Apt 5+
K1Y 2G9,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
K9H 7R2,62,"Older, lower-middle-income suburban singles | Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.","$95,199","$461,727",Single Detached / Low Rise Apt
L2M 6N2,45,"Older middle-income suburban households | Slow Lane Suburbs consists of older singles and couples, primarily over the age of 55, residing in mid-sized cities. This segment enjoys a quiet lifestyle, often owning affordable single-detached homes, many inhabited by third-plus-generation Canadians. With high school or college educations leading to steady, middle-income careers, they tend to run tight households while remaining active through outdoor recreation and local events such as food festivals. Their consumer habits lean toward frugality, yet they continue to value quality and social responsibility. Defined by deep roots and a sense of continuity, this segment embraces a lifestyle shaped by simplicity, familiarity, and meaningful everyday moments.","$108,719","$603,044",Single Detached / Low Rise Apt / Duplex
L5N 2X2,,,,,
L9B 1T8,53,"Older low-income suburban singles and couples | Silver Flats primarily consists of retirees, with a high proportion of residents over the age of 75. Many live in low-rise apartments and represent a budget-conscious group aiming to make the most of modest incomes, often drawn from pensions and government transfers. Preferring a balance of social and solitary activities, they enjoy affordable leisure pursuits such as reading, crafting, and attending local cultural events. Indoors, they often spend time watching their favourite TV shows or connecting with friends. Their focus on legacy planning and ecological responsibility reflects a thoughtful group deeply rooted in community values, simplicity, and long-term thinking.","$82,197","$508,868",Apartments
M1J 2B7,31,"Culturally diverse, middle-income city dwellers | Metro Melting Pot is a culturally rich segment primarily found in Toronto, composed largely of middle-aged and older immigrant families living in a mix of owned and rented homes. This group is further defined by a high proportion of residents who speak a non-official language. With household incomes around the national average, these families - including couples and lone parents - actively participate in local activities and invest in their children’s experiences through outings to theme parks and professional sporting events. Their strong appreciation for multiculturalism, paired with a practical embrace of technology, reflects a lifestyle shaped by adaptability, family focus, and cultural diversity.","$117,190","$822,468",Mixed
M1N 1E8,16,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","$138,182","$1,231,141",Mixed
M1N 3Z7,21,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","$129,387","$1,255,437",Single Detached
M2P 1Y4,7,"Older, successful, urban fringe families and couples | Mature & Secure consists of affluent, educated older couples and families, primarily located in the urban fringe neighbourhoods of major Canadian cities. Many individuals are over 55, often enjoying successful careers in management and reporting substantial household incomes. This segment values health, wellness, and cultural engagement, frequently participating in fitness activities and attending arts events. The ideals of social responsibility and legacy resonate, reflecting a lifestyle focused on purposeful living, personal growth, and meaningful involvement.","$197,408","$2,154,011",Single Detached
M4C 2G5,31,"Culturally diverse, middle-income city dwellers | Metro Melting Pot is a culturally rich segment primarily found in Toronto, composed largely of middle-aged and older immigrant families living in a mix of owned and rented homes. This group is further defined by a high proportion of residents who speak a non-official language. With household incomes around the national average, these families - including couples and lone parents - actively participate in local activities and invest in their children’s experiences through outings to theme parks and professional sporting events. Their strong appreciation for multiculturalism, paired with a practical embrace of technology, reflects a lifestyle shaped by adaptability, family focus, and cultural diversity.","$117,190","$822,468",Mixed
M4C 4J4,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M4E 1L2,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
M4H 1M2,,,,,
M4K 1C8,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M4K 1E3,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M4K 1M3,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M4K 2J1,6,"Younger and middle-aged, urban, high-income households | Downtown Verve captures young to middle-aged urban families, couples, and some singles, predominantly residing in cities like Toronto, Calgary, and Vancouver. Characterized by their educational achievements and high-income levels, this segment effortlessly blends work and play into their everyday lives. Downtown Verve are advocates for ecological lifestyles, ethical consumerism, and culture sampling, making them open to experiences that align with their values. Regularly participating in various recreational activities - from fitness classes to cultural events - they seek meaningful experiences that enhance their sense of community and individualism.","$201,216","$1,559,462",Mixed
M4N 2C8,2,"Wealthy, older, urban families and couples | Wealthy & Wise represents a segment of older, affluent families and couples who enjoy high living standards and reside in prestigious neighbourhoods across Canada’s large cities. With household incomes that significantly exceed the national average, Wealthy & Wise own luxury homes and demonstrate a strong commitment to education, as evidenced by their higher rates of advanced degrees. Their active lifestyles include a variety of cultural and recreational activities, from attending live performances to engaging in fitness pursuits. This segment strongly emphasizes authenticity and environmental stewardship, making them ideal candidates for campaigns that spotlight social impact and meaningful experiences.","$284,106","$3,581,482",Single Detached
H4P 1K4,,,,,
M4P 1R2,12,"Younger, multi-ethnic urban singles and couples | Eat, Play, Love represents a dynamic group of young, urban singles and couples concentrated primarily in major Canadian cities like Toronto and Vancouver. Living predominantly in high-rise condos, they are culturally engaged, often attending film festivals, concerts, and sporting events. With a high rate of university graduates and careers in business, science, and the arts, they value authenticity, personal connection, and originality. This segment frequently participates in fitness activities, travels extensively, and promotes sustainability through their consumption patterns. Their openness to new ideas and technologies reflects a forward-thinking mindset and a desire to stay meaningfully connected to the evolving world around them.","$139,766","$926,329",Apt 5+
M4P 2V1,1,"Very wealthy, cosmopolitan, middle-aged and older families and couples | The A-List is Canada’s wealthiest segment, consisting of well-educated middle-aged and older families and couples. Earning over $500,000 annually from white-collar occupations, they reside in exclusive neighbourhoods across major urban centres, providing stately homes and quick commutes to their jobs and all the city offers. The A-List places importance on philanthropy, social responsibility, and ecological concerns. In their leisure time, A-List residents enjoy high-culture events like symphonies and theatre and outdoor sports such as skiing and golfing, reflecting a lifestyle that balances sophistication with active living.","$591,860","$5,831,842",Single Detached
