postal_code,segment_number,segment_name,segment_description,who_they_are,average_household_income,education,urbanity,average_household_net_worth,occupation,diversity,family_life,tenure,home_type,status,confirmed,cached_at,expires_at
V9K 1S8,58,Old Town Roads,"Older, middle-income town households | Old Town Roads is a segment of older couples and individuals living in Canada’s quaint small towns. Many are empty-nesters or widowed, predominantly residing in older single-detached homes, and earning middle incomes through blue-collar or agricultural work. These residents prioritize financial security as they approach or enter retirement. They enjoy time-honoured pastimes like fishing and gardening and have a strong appreciation for local events and music festivals. Traditional media remains central to their entertainment, with TV sports and classic rock or country music on the radio being favourites. Their lifestyle is defined by simplicity, familiarity, and strong ties to tradition.","Old Town Roads is a segment of older couples and individuals living in Canada’s quaint small towns. Many are empty-nesters or widowed, predominantly residing in older single-detached homes, and earning middle incomes through blue-collar or agricultural work. These residents prioritize financial security as they approach or enter retirement. They enjoy time-honoured pastimes like fishing and gardening and have a strong appreciation for local events and music festivals. Traditional media remains central to their entertainment, with TV sports and classic rock or country music on the radio being favourites. Their lifestyle is defined by simplicity, familiarity, and strong ties to tradition.","$0 to $110,593",Mixed,Town,$0 to $600K,Service Sector / Blue Collar,Low,Mixed,Own,Single Detached / Moveable,success,0,2025-09-09 22:20,20:12.4
V8A 4N2,58,Old Town Roads,"Older, middle-income town households | Old Town Roads is a segment of older couples and individuals living in Canada’s quaint small towns. Many are empty-nesters or widowed, predominantly residing in older single-detached homes, and earning middle incomes through blue-collar or agricultural work. These residents prioritize financial security as they approach or enter retirement. They enjoy time-honoured pastimes like fishing and gardening and have a strong appreciation for local events and music festivals. Traditional media remains central to their entertainment, with TV sports and classic rock or country music on the radio being favourites. Their lifestyle is defined by simplicity, familiarity, and strong ties to tradition.","Old Town Roads is a segment of older couples and individuals living in Canada’s quaint small towns. Many are empty-nesters or widowed, predominantly residing in older single-detached homes, and earning middle incomes through blue-collar or agricultural work. These residents prioritize financial security as they approach or enter retirement. They enjoy time-honoured pastimes like fishing and gardening and have a strong appreciation for local events and music festivals. Traditional media remains central to their entertainment, with TV sports and classic rock or country music on the radio being favourites. Their lifestyle is defined by simplicity, familiarity, and strong ties to tradition.","$0 to $110,593",Mixed,Town,$0 to $600K,Service Sector / Blue Collar,Low,Mixed,Own,Single Detached / Moveable,success,0,2025-09-10 21:10,10:03.2
V9Z 1G9,49,Backcountry Boomers,"Rural, middle-income older couples and singles | Backcountry Boomers represents a distinct group of older and mature adults, often over the age of 75, primarily residing in remote areas of Canada’s Atlantic region. These households are typically made up of empty-nesting couples and individuals living in single-detached homes within tight-knit communities. Their lifestyle values revolve around simplicity, a connection to nature, and self-reliance. Favourite pastimes include fishing, gardening, and spending afternoons with friends at the local recreation centre. This segment embodies a way of life centred in routine, community bonds, and an enduring appreciation for nature and quiet living.","Backcountry Boomers represents a distinct group of older and mature adults, often over the age of 75, primarily residing in remote areas of Canada’s Atlantic region. These households are typically made up of empty-nesting couples and individuals living in single-detached homes within tight-knit communities. Their lifestyle values revolve around simplicity, a connection to nature, and self-reliance. Favourite pastimes include fishing, gardening, and spending afternoons with friends at the local recreation centre. This segment embodies a way of life centred in routine, community bonds, and an enduring appreciation for nature and quiet living.","$0 to $110,593",Mixed,Rural,$600K to $1M,Primary / Blue Collar,Low,Mixed,Own,Single Detached,success,1,2025-09-09 21:34,34:20.8
V7Z 1A8,49,Backcountry Boomers,"Rural, middle-income older couples and singles | Backcountry Boomers represents a distinct group of older and mature adults, often over the age of 75, primarily residing in remote areas of Canada’s Atlantic region. These households are typically made up of empty-nesting couples and individuals living in single-detached homes within tight-knit communities. Their lifestyle values revolve around simplicity, a connection to nature, and self-reliance. Favourite pastimes include fishing, gardening, and spending afternoons with friends at the local recreation centre. This segment embodies a way of life centred in routine, community bonds, and an enduring appreciation for nature and quiet living.","Backcountry Boomers represents a distinct group of older and mature adults, often over the age of 75, primarily residing in remote areas of Canada’s Atlantic region. These households are typically made up of empty-nesting couples and individuals living in single-detached homes within tight-knit communities. Their lifestyle values revolve around simplicity, a connection to nature, and self-reliance. Favourite pastimes include fishing, gardening, and spending afternoons with friends at the local recreation centre. This segment embodies a way of life centred in routine, community bonds, and an enduring appreciation for nature and quiet living.","$0 to $110,593",Mixed,Rural,$600K to $1M,Primary / Blue Collar,Low,Mixed,Own,Single Detached,success,0,2025-09-10 21:08,08:52.3
V7Z 1B5,49,Backcountry Boomers,"Rural, middle-income older couples and singles | Backcountry Boomers represents a distinct group of older and mature adults, often over the age of 75, primarily residing in remote areas of Canada’s Atlantic region. These households are typically made up of empty-nesting couples and individuals living in single-detached homes within tight-knit communities. Their lifestyle values revolve around simplicity, a connection to nature, and self-reliance. Favourite pastimes include fishing, gardening, and spending afternoons with friends at the local recreation centre. This segment embodies a way of life centred in routine, community bonds, and an enduring appreciation for nature and quiet living.","Backcountry Boomers represents a distinct group of older and mature adults, often over the age of 75, primarily residing in remote areas of Canada’s Atlantic region. These households are typically made up of empty-nesting couples and individuals living in single-detached homes within tight-knit communities. Their lifestyle values revolve around simplicity, a connection to nature, and self-reliance. Favourite pastimes include fishing, gardening, and spending afternoons with friends at the local recreation centre. This segment embodies a way of life centred in routine, community bonds, and an enduring appreciation for nature and quiet living.","$0 to $110,593",Mixed,Rural,$600K to $1M,Primary / Blue Collar,Low,Mixed,Own,Single Detached,success,0,2025-09-10 21:09,09:15.8
V9R 1T6,57,Juggling Acts,"Younger, urban service sector and blue collar singles | Juggling Acts is characterized by a vibrant blend of young singles, couples, and families, particularly in small- and medium-sized cities such as London and Kitchener-Cambridge. This segment includes many renters living in row houses and low-rise apartments, typically earning middle incomes from service and blue-collar jobs. Their weekend activities are often family-focused, with a strong inclination toward outdoor adventures, neighbourhood festivals, and local fairs. They value authenticity and seek meaningful experiences that align with their practical outlook, family priorities, and desire for connection.","Juggling Acts is characterized by a vibrant blend of young singles, couples, and families, particularly in small- and medium-sized cities such as London and Kitchener-Cambridge. This segment includes many renters living in row houses and low-rise apartments, typically earning middle incomes from service and blue-collar jobs. Their weekend activities are often family-focused, with a strong inclination toward outdoor adventures, neighbourhood festivals, and local fairs. They value authenticity and seek meaningful experiences that align with their practical outlook, family priorities, and desire for connection.","$0 to $110,593",High School / College,Urban,$0 to $600K,Service Sector / Blue Collar,Low,Singles,Rent & Own,Mixed,success,0,2025-09-09 21:32,32:47.3
V9R 3Y4,57,Juggling Acts,"Younger, urban service sector and blue collar singles | Juggling Acts is characterized by a vibrant blend of young singles, couples, and families, particularly in small- and medium-sized cities such as London and Kitchener-Cambridge. This segment includes many renters living in row houses and low-rise apartments, typically earning middle incomes from service and blue-collar jobs. Their weekend activities are often family-focused, with a strong inclination toward outdoor adventures, neighbourhood festivals, and local fairs. They value authenticity and seek meaningful experiences that align with their practical outlook, family priorities, and desire for connection.","Juggling Acts is characterized by a vibrant blend of young singles, couples, and families, particularly in small- and medium-sized cities such as London and Kitchener-Cambridge. This segment includes many renters living in row houses and low-rise apartments, typically earning middle incomes from service and blue-collar jobs. Their weekend activities are often family-focused, with a strong inclination toward outdoor adventures, neighbourhood festivals, and local fairs. They value authenticity and seek meaningful experiences that align with their practical outlook, family priorities, and desire for connection.","$0 to $110,593",High School / College,Urban,$0 to $600K,Service Sector / Blue Collar,Low,Singles,Rent & Own,Mixed,success,0,2025-09-09 21:33,33:10.7
V8P 2V6,57,Juggling Acts,"Younger, urban service sector and blue collar singles | Juggling Acts is characterized by a vibrant blend of young singles, couples, and families, particularly in small- and medium-sized cities such as London and Kitchener-Cambridge. This segment includes many renters living in row houses and low-rise apartments, typically earning middle incomes from service and blue-collar jobs. Their weekend activities are often family-focused, with a strong inclination toward outdoor adventures, neighbourhood festivals, and local fairs. They value authenticity and seek meaningful experiences that align with their practical outlook, family priorities, and desire for connection.","Juggling Acts is characterized by a vibrant blend of young singles, couples, and families, particularly in small- and medium-sized cities such as London and Kitchener-Cambridge. This segment includes many renters living in row houses and low-rise apartments, typically earning middle incomes from service and blue-collar jobs. Their weekend activities are often family-focused, with a strong inclination toward outdoor adventures, neighbourhood festivals, and local fairs. They value authenticity and seek meaningful experiences that align with their practical outlook, family priorities, and desire for connection.","$0 to $110,593",High School / College,Urban,$0 to $600K,Service Sector / Blue Collar,Low,Singles,Rent & Own,Mixed,success,0,2025-09-10 15:43,43:21.9
V8T 2C1,32,Diverse & Determined,"Younger and middle-aged, multi-ethnic urban fringe households | Diverse & Determined represents a multicultural segment living on the urban outskirts of major Canadian cities. It includes a mix of younger singles and middle-aged families, many of whom live in multigenerational or lone-parent households. A large percentage of residents identify as visible minorities, and many speak more than one language. This segment combines a strong educational background with mid-level incomes. Housing trends favour low-rise options, such as row houses, apartments, and condos. They value cultural diversity and personal creativity, while also being mindful of affordability in their day-to-day choices. Their leisure time often involves attending sports events, music festivals, and community celebrations, reflecting a vibrant lifestyle grounded in inclusivity and local connection.","Diverse & Determined represents a multicultural segment living on the urban outskirts of major Canadian cities. It includes a mix of younger singles and middle-aged families, many of whom live in multigenerational or lone-parent households. A large percentage of residents identify as visible minorities, and many speak more than one language. This segment combines a strong educational background with mid-level incomes. Housing trends favour low-rise options, such as row houses, apartments, and condos. They value cultural diversity and personal creativity, while also being mindful of affordability in their day-to-day choices. Their leisure time often involves attending sports events, music festivals, and community celebrations, reflecting a vibrant lifestyle grounded in inclusivity and local connection.","$110,594 to $142,817",University / College / High School,Urban Fringe,$0 to $600K,White Collar / Service Sector,High,Singles,Own & Rent,Row / Low Rise Apt,success,0,2025-09-10 4:50,50:52.0
V8J 2C5,37,Keep on Trucking,"Middle-income town homeowners | Keep on Trucking is Canada’s most prosperous town segment, with residents living in various remote communities. Comprised of families and couples frequently employed in mining or the oil and gas industries, they earn upper-middle incomes and typically reside in older, affordable homes. This segment includes a high proportion of people of Indigenous origin - around 20 percent - and features a blend of longtime residents and newcomers drawn by employment opportunities in nearby industries. In their free time, residents enjoy outdoor recreational activities such as boating and camping, along with cherished hobbies like crafts and baking. Their strong family values and connection to nature reflect a lifestyle centred in resilience, self-sufficiency, and cultural pride.","Keep on Trucking is Canada’s most prosperous town segment, with residents living in various remote communities. Comprised of families and couples frequently employed in mining or the oil and gas industries, they earn upper-middle incomes and typically reside in older, affordable homes. This segment includes a high proportion of people of Indigenous origin - around 20 percent - and features a blend of longtime residents and newcomers drawn by employment opportunities in nearby industries. In their free time, residents enjoy outdoor recreational activities such as boating and camping, along with cherished hobbies like crafts and baking. Their strong family values and connection to nature reflect a lifestyle centred in resilience, self-sufficiency, and cultural pride.","$110,594 to $142,817",Mixed,Town,$0 to $600K,Primary / Service Sector,Low,Mixed,Own & Rent,Single Detached / Moveable,success,0,2025-09-10 21:03,03:19.7
V9C 3Y3,43,Happy Medium,"Middle-aged and older blue-collar suburban couples and families | Happy Medium represents suburban families and couples with deep-rooted ties to their communities, primarily in the outer suburbs of large and midsize cities. A large majority are third-generation Canadians living in older, owned, single-detached homes. Household maintainers aged 45 to 75+ often work in blue-collar or service-sector roles, having parlayed their high school or college educations into stable, middle-income careers. For leisure, they enjoy practical hobbies like gardening and woodworking. Their values emphasize family connections, civic engagement, and ethical living, with a strong tendency to support local and sustainable practices. With a love for outdoor activities and commitment to community life, this segment reflects a lifestyle grounded in responsibility, tradition, and everyday fulfillment.","Happy Medium represents suburban families and couples with deep-rooted ties to their communities, primarily in the outer suburbs of large and midsize cities. A large majority are third-generation Canadians living in older, owned, single-detached homes. Household maintainers aged 45 to 75+ often work in blue-collar or service-sector roles, having parlayed their high school or college educations into stable, middle-income careers. For leisure, they enjoy practical hobbies like gardening and woodworking. Their values emphasize family connections, civic engagement, and ethical living, with a strong tendency to support local and sustainable practices. With a love for outdoor activities and commitment to community life, this segment reflects a lifestyle grounded in responsibility, tradition, and everyday fulfillment.","$110,594 to $142,817",Mixed,Suburban,$600K to $1M,Blue Collar / Service Sector,Low,Couples / Families,Own,Single Detached,success,0,2025-09-09 22:29,29:25.0
V9M 1R8,21,Scenic Retirement,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","$110,594 to $142,817",College / High School / Trade,Suburban,$1M to $2.15M,Mixed,Low,Mixed,Own,Single Detached,success,0,2025-09-09 21:30,30:49.6
V9M 7Z8,21,Scenic Retirement,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","$110,594 to $142,817",College / High School / Trade,Suburban,$1M to $2.15M,Mixed,Low,Mixed,Own,Single Detached,success,0,2025-09-09 21:31,31:37.1
V9P 2V5,21,Scenic Retirement,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","$110,594 to $142,817",College / High School / Trade,Suburban,$1M to $2.15M,Mixed,Low,Mixed,Own,Single Detached,success,0,2025-09-09 21:32,32:23.8
