postal_code,segment_number,segment_name,segment_description,who_they_are,average_household_income,education,urbanity,average_household_net_worth,occupation,diversity,family_life,tenure,home_type,status,confirmed,cached_at,expires_at
V9R 3Y4,57,Juggling Acts,"Younger, urban service sector and blue collar singles | Juggling Acts is characterized by a vibrant blend of young singles, couples, and families, particularly in small- and medium-sized cities such as London and Kitchener-Cambridge. This segment includes many renters living in row houses and low-rise apartments, typically earning middle incomes from service and blue-collar jobs. Their weekend activities are often family-focused, with a strong inclination toward outdoor adventures, neighbourhood festivals, and local fairs. They value authenticity and seek meaningful experiences that align with their practical outlook, family priorities, and desire for connection.","Juggling Acts is characterized by a vibrant blend of young singles, couples, and families, particularly in small- and medium-sized cities such as London and Kitchener-Cambridge. This segment includes many renters living in row houses and low-rise apartments, typically earning middle incomes from service and blue-collar jobs. Their weekend activities are often family-focused, with a strong inclination toward outdoor adventures, neighbourhood festivals, and local fairs. They value authenticity and seek meaningful experiences that align with their practical outlook, family priorities, and desire for connection.",103378,High School / College,Urban,415686,Service Sector / Blue Collar,Low,Singles,Rent & Own,Mixed,success,0,2025-09-09 21:33:10,2025-12-08 14:33:10.711691
V9W 1Y4,21,Scenic Retirement,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.",129387,College / High School / Trade,Suburban,1255437,Mixed,Low,Mixed,Own,Single Detached,success,0,2025-09-09 21:33:34,2025-12-08 14:33:34.068745
V9W 6Y7,62,Suburban Recliners,"Older, lower-middle-income suburban singles | Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.","Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.",95199,Mixed,Suburban,461727,Service Sector / Blue Collar,Low,Singles,Rent & Own,Single Detached / Low Rise Apt,success,0,2025-09-09 21:33:57,2025-12-08 14:33:57.484893
V9Z 1G9,49,Backcountry Boomers,"Rural, middle-income older couples and singles | Backcountry Boomers represents a distinct group of older and mature adults, often over the age of 75, primarily residing in remote areas of Canada’s Atlantic region. These households are typically made up of empty-nesting couples and individuals living in single-detached homes within tight-knit communities. Their lifestyle values revolve around simplicity, a connection to nature, and self-reliance. Favourite pastimes include fishing, gardening, and spending afternoons with friends at the local recreation centre. This segment embodies a way of life centred in routine, community bonds, and an enduring appreciation for nature and quiet living.","Backcountry Boomers represents a distinct group of older and mature adults, often over the age of 75, primarily residing in remote areas of Canada’s Atlantic region. These households are typically made up of empty-nesting couples and individuals living in single-detached homes within tight-knit communities. Their lifestyle values revolve around simplicity, a connection to nature, and self-reliance. Favourite pastimes include fishing, gardening, and spending afternoons with friends at the local recreation centre. This segment embodies a way of life centred in routine, community bonds, and an enduring appreciation for nature and quiet living.",103276,Mixed,Rural,627646,Primary / Blue Collar,Low,Mixed,Own,Single Detached,success,1,2025-09-09 21:34:20,2025-12-08 14:34:20.833058
V9C 4B1,9,Boomer Bliss,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.",163097,University / College,Suburban,1513488,White Collar / Service Sector,Low,Couples / Families,Own,Single Detached,success,0,2025-09-09 22:18:13,2025-12-08 15:18:13.237445
V9C 4E8,21,Scenic Retirement,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.",129387,College / High School / Trade,Suburban,1255437,Mixed,Low,Mixed,Own,Single Detached,success,0,2025-09-09 22:18:37,2025-12-08 15:18:37.351169
V9E 2B9,14,Kick-Back Country,"Rural, middle-aged and older couples and families | Kick-Back Country is a high-income segment of middle-aged and older families found primarily in the rural areas of Ontario and Alberta. Homeownership is remarkably high, with most residents living in spacious single-detached houses. This segment has strong participation in outdoor and local activities, including sports events and adventure sports. Values such as a strong work ethic, national pride, and ecological consciousness are paramount, shaping their preference for quality and sustainability. Their connection to nature plays a central role in how they spend their time and define a fulfilling life.","Kick-Back Country is a high-income segment of middle-aged and older families found primarily in the rural areas of Ontario and Alberta. Homeownership is remarkably high, with most residents living in spacious single-detached houses. This segment has strong participation in outdoor and local activities, including sports events and adventure sports. Values such as a strong work ethic, national pride, and ecological consciousness are paramount, shaping their preference for quality and sustainability. Their connection to nature plays a central role in how they spend their time and define a fulfilling life.",162652,Mixed,Rural,1423912,Primary / Blue Collar,Low,Couples / Families,Own,Single Detached,success,0,2025-09-09 22:19:00,2025-12-08 15:19:00.997739
V9E 2C1,9,Boomer Bliss,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.",163097,University / College,Suburban,1513488,White Collar / Service Sector,Low,Couples / Families,Own,Single Detached,success,0,2025-09-09 22:19:24,2025-12-08 15:19:24.794920
V9J 1J9,21,Scenic Retirement,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.",129387,College / High School / Trade,Suburban,1255437,Mixed,Low,Mixed,Own,Single Detached,success,0,2025-09-09 22:19:48,2025-12-08 15:19:48.641699
V9K 1S8,58,Old Town Roads,"Older, middle-income town households | Old Town Roads is a segment of older couples and individuals living in Canada’s quaint small towns. Many are empty-nesters or widowed, predominantly residing in older single-detached homes, and earning middle incomes through blue-collar or agricultural work. These residents prioritize financial security as they approach or enter retirement. They enjoy time-honoured pastimes like fishing and gardening and have a strong appreciation for local events and music festivals. Traditional media remains central to their entertainment, with TV sports and classic rock or country music on the radio being favourites. Their lifestyle is defined by simplicity, familiarity, and strong ties to tradition.","Old Town Roads is a segment of older couples and individuals living in Canada’s quaint small towns. Many are empty-nesters or widowed, predominantly residing in older single-detached homes, and earning middle incomes through blue-collar or agricultural work. These residents prioritize financial security as they approach or enter retirement. They enjoy time-honoured pastimes like fishing and gardening and have a strong appreciation for local events and music festivals. Traditional media remains central to their entertainment, with TV sports and classic rock or country music on the radio being favourites. Their lifestyle is defined by simplicity, familiarity, and strong ties to tradition.",102462,Mixed,Town,486393,Service Sector / Blue Collar,Low,Mixed,Own,Single Detached / Moveable,success,0,2025-09-09 22:20:12,2025-12-08 15:20:12.443954
V9L 2C8,62,Suburban Recliners,"Older, lower-middle-income suburban singles | Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.","Suburban Recliners consists primarily of older individuals and couples living in affordable suburban neighbourhoods surrounding smaller and mid-sized cities. Characterized by a large proportion of empty-nesters and seniors earning modest lower-middle incomes, this segment tends to reside in single-detached homes and low-rise apartments, where they value a strong sense of community. These third-plus-generation Canadians enjoy their leisure time by attending local cultural events, theatre, and engaging in outdoor activities. Generally frugal, they make mindful spending decisions and show a strong interest in civic involvement and sustainability. Their lifestyle reflects a desire for connection, continuity, and meaningful engagement within their local communities.",95199,Mixed,Suburban,461727,Service Sector / Blue Collar,Low,Singles,Rent & Own,Single Detached / Low Rise Apt,success,0,2025-09-09 22:20:36,2025-12-08 15:20:36.145392
V9L 5M4,21,Scenic Retirement,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.",129387,College / High School / Trade,Suburban,1255437,Mixed,Low,Mixed,Own,Single Detached,success,0,2025-09-09 22:20:59,2025-12-08 15:20:59.780525
V9L 6N4,14,Kick-Back Country,"Rural, middle-aged and older couples and families | Kick-Back Country is a high-income segment of middle-aged and older families found primarily in the rural areas of Ontario and Alberta. Homeownership is remarkably high, with most residents living in spacious single-detached houses. This segment has strong participation in outdoor and local activities, including sports events and adventure sports. Values such as a strong work ethic, national pride, and ecological consciousness are paramount, shaping their preference for quality and sustainability. Their connection to nature plays a central role in how they spend their time and define a fulfilling life.","Kick-Back Country is a high-income segment of middle-aged and older families found primarily in the rural areas of Ontario and Alberta. Homeownership is remarkably high, with most residents living in spacious single-detached houses. This segment has strong participation in outdoor and local activities, including sports events and adventure sports. Values such as a strong work ethic, national pride, and ecological consciousness are paramount, shaping their preference for quality and sustainability. Their connection to nature plays a central role in how they spend their time and define a fulfilling life.",162652,Mixed,Rural,1423912,Primary / Blue Collar,Low,Couples / Families,Own,Single Detached,success,0,2025-09-09 22:21:23,2025-12-08 15:21:23.566840
V9M 0B3,21,Scenic Retirement,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.",129387,College / High School / Trade,Suburban,1255437,Mixed,Low,Mixed,Own,Single Detached,success,0,2025-09-09 22:21:47,2025-12-08 15:21:47.233035
V9A 2J1,16,Savvy Seniors,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.",138182,University / College,Urban,1231141,White Collar / Service Sector,Low,Mixed,Own,Mixed,success,0,2025-09-09 22:26:23,2025-12-08 15:26:23.168738
V9A 4G7,,,,,,,,,,,,,,error,0,2025-09-09 22:26:41,2025-12-08 15:26:41.167987
V9A 4J5,9,Boomer Bliss,"Older, financially comfortable, suburban couples and families | Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.","Boomer Bliss captures a segment of older couples and families living in suburban areas surrounding large cities across Canada. With a significant proportion of retirees and a higher-than-average level of university education, this segment enjoys upper-middle incomes that support ownership of spacious single-detached homes. They actively pursue cultural interests, frequently attending local arts events and participating in outdoor activities. Their lifestyle reflects a desire for social connection and leisure, characterized by personal enrichment, neighbourhood involvement, and a strong appreciation for well-being and balance.",163097,University / College,Suburban,1513488,White Collar / Service Sector,Low,Couples / Families,Own,Single Detached,success,0,2025-09-09 22:27:04,2025-12-08 15:27:04.546704
V9A 6N2,16,Savvy Seniors,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.",138182,University / College,Urban,1231141,White Collar / Service Sector,Low,Mixed,Own,Mixed,success,0,2025-09-09 22:27:27,2025-12-08 15:27:27.890243
V9A 6R6,21,Scenic Retirement,"Older, middle-income suburbanites | Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.","Scenic Retirement consists of older couples and singles over the age of 75, typically found in suburban areas of smaller Canadian cities. On average, they earn household incomes above $120,000, often from pensions and other income sources. This segment has a strong inclination toward maintaining a healthy lifestyle and actively participates in leisure activities such as gardening and curling. With many living independently and without children at home, they seek meaningful local experiences and value autonomy and national pride. While they embrace technology to simplify daily tasks and stay connected, they continue to prefer face-to-face interaction when building connections and maintaining social ties.",129387,College / High School / Trade,Suburban,1255437,Mixed,Low,Mixed,Own,Single Detached,success,0,2025-09-09 22:27:51,2025-12-08 15:27:51.397740
V9B 1T7,16,Savvy Seniors,"Middle-income, older, urban households | Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.","Savvy Seniors consists of singles, couples, and divorced or widowed individuals living in urban neighbourhoods. These empty-nesters are financially stable and tend to choose easier-to-manage housing, such as condos and row houses. They enjoy an active lifestyle filled with dining out, arts events, and community contributions, reflecting their strong sense of social responsibility. With a notable interest in health, Savvy Seniors embrace modern conveniences to enhance their experiences. Their lifestyle reflects a balance of independence, engagement, and a commitment to living well as they age.",138182,University / College,Urban,1231141,White Collar / Service Sector,Low,Mixed,Own,Mixed,success,0,2025-09-09 22:28:14,2025-12-08 15:28:14.763232
